id,name,category,primary_muscles,secondary_muscles,difficulty,equipment,exercise_type,sets,seconds_per_set,repetitions_per_set,rest,video,thumbnail,pro_only,uses_weights,thumbnail_url,video_url
87016,"Squat step, left - ViPR",strength,Quads,,Novice,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1144.mp4,4029225d814bbd1491d033d62aa30d2902a7.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/4029225d814bbd1491d033d62aa30d2902a7.png,https://static.virtuagym.com/videos/2023_id1144.mp4
113228,"Lunge, left - Kinesis",strength,"Quads, Glutes",Legs,Novice,Kinesis,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id2002m.mp4,cda6325efcfc92ca2706a3c9853683e7ced8.png,FALSE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/cda6325efcfc92ca2706a3c9853683e7ced8.png,https://static.virtuagym.com/videos/2023_id2002m.mp4
87017,"Side step chop, left - ViPR",strength,"Obliques, Quads, Hamstrings",,Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1155.mp4,79d55e4dfbe7eae9605e7bfcbf25eaa48d24.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/79d55e4dfbe7eae9605e7bfcbf25eaa48d24.png,https://static.virtuagym.com/videos/2023_id1155.mp4
113951,"Sprint, interval",strength,Cardiovascular System,,Novice,-,time_based,3,"15,15,15",,"30,30,30,0,0",2023_running.mp4,f740b2d0c5039227852897a87e969be92c8f.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f740b2d0c5039227852897a87e969be92c8f.png,https://static.virtuagym.com/videos/2023_running.mp4
87019,Squat between legs - ViPR,strength,Quads,,Novice,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1159.mp4,e5d9b948244e770dd7343bd19d9b3e7cd085.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/e5d9b948244e770dd7343bd19d9b3e7cd085.png,https://static.virtuagym.com/videos/2023_id1159.mp4
113957,"Treadmill, interval",strength,Cardiovascular System,Legs,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_cm005.mp4,d8651082c8a54cf7060af33a2f7f02695ec6.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/d8651082c8a54cf7060af33a2f7f02695ec6.png,https://static.virtuagym.com/videos/2023_cm005.mp4
87020,Slam - ViPR,strength,"Arms, Shoulders","Back, Chest",Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1160.mp4,58985989cea14f23f0c9a46a19e07cd327c3.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/58985989cea14f23f0c9a46a19e07cd327c3.png,https://static.virtuagym.com/videos/2023_id1160.mp4
113958,"Stationary Bike, interval",strength,Cardiovascular System,Legs,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_oa052.mp4,11ede75368460b644232383f86547a88e644.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/11ede75368460b644232383f86547a88e644.png,https://static.virtuagym.com/videos/2023_oa052.mp4
87021,"Lunge and reach, alternated - ViPR",strength,"Quads, Glutes","All Abs, Lower Back",Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1167.mp4,87820989156419547df583956c04b1a26b82.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/87820989156419547df583956c04b1a26b82.png,https://static.virtuagym.com/videos/2023_id1167.mp4
113965,"Walking, interval",strength,Cardiovascular System,,Novice,-,time_based,3,"30,30,30",,"30,30,30,30,30",2023_id1306.mp4,5223e256c5515579bac031bc937e743ce458.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/5223e256c5515579bac031bc937e743ce458.png,https://static.virtuagym.com/videos/2023_id1306.mp4
87023,"Lateral lunge reach, alternated - ViPR",strength,"Quads, Glutes, Obliques",Chest,Advanced,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1165.mp4,2332d0addab8aee198ae815ddf01ef5a12cb.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/2332d0addab8aee198ae815ddf01ef5a12cb.png,https://static.virtuagym.com/videos/2023_id1165.mp4
113966,"Marching, interval",strength,Cardiovascular System,,Novice,-,time_based,3,"15,15,15",,"30,30,30,30,30",2023_id1304.mp4,6231e2c570be2d6346679d086542868d9ae0.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/6231e2c570be2d6346679d086542868d9ae0.png,https://static.virtuagym.com/videos/2023_id1304.mp4
87024,"Lateral lunge one arm tilt, alternated - ViPR",strength,"Quads, Glutes",All Abs,Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1169.mp4,39fde64c6763fcb12f3a142479cdc598331c.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/39fde64c6763fcb12f3a142479cdc598331c.png,https://static.virtuagym.com/videos/2023_id1169.mp4
113968,"Jumping jacks, interval",strength,Cardiovascular System,,Novice,-,time_based,3,"15,15,15",,"30,30,30,30,30",2023_cw003.mp4,de5ef2f5dafc4ac12ec667b6bd51234c1c06.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/de5ef2f5dafc4ac12ec667b6bd51234c1c06.png,https://static.virtuagym.com/videos/2023_cw003.mp4
87026,Kayak - ViPR,strength,Obliques,"Lats, Front Shoulders",Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1172.mp4,91a01167b72980ed8f263d4fb7480908fd12.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/91a01167b72980ed8f263d4fb7480908fd12.png,https://static.virtuagym.com/videos/2023_id1172.mp4
113969,"Elliptical Trainer, interval",strength,Cardiovascular System,Full Body,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_cm002.mp4,434edf2f631653864bb1d6e9c1bfffd5c018.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/434edf2f631653864bb1d6e9c1bfffd5c018.png,https://static.virtuagym.com/videos/2023_cm002.mp4
87027,Reverse kayak - ViPR,strength,Obliques,"Triceps, Chest",Intermediate,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1173.mp4,7c49cafb1e04d399a3fdcfa522903a59fed9.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/7c49cafb1e04d399a3fdcfa522903a59fed9.png,https://static.virtuagym.com/videos/2023_id1173.mp4
113970,"Rowing machine, interval",strength,Cardiovascular System,Full Body,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_cm001.mp4,79510452b4b572a2a2a84d520057361a78ab.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/79510452b4b572a2a2a84d520057361a78ab.png,https://static.virtuagym.com/videos/2023_cm001.mp4
87029,Burpee flip - ViPR,strength,Full Body,,Novice,-,repetition_based,3,,"10,8,6","30,30,30,30,30",2023_id1141.mp4,c41616bbb60b124c1375357e45e593ea5110.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/c41616bbb60b124c1375357e45e593ea5110.png,https://static.virtuagym.com/videos/2023_id1141.mp4
113971,"Stair walking, interval",strength,Cardiovascular System,,Novice,-,time_based,3,"10,10,10",,"30,30,30,30,30",2023_sid0075.mp4,8c85034735666eff43e4f720a66807f88a2a.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/8c85034735666eff43e4f720a66807f88a2a.png,https://static.virtuagym.com/videos/2023_sid0075.mp4
87030,Squat flip - ViPR,strength,Quads,,Beginner,VIPR,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1166.mp4,100886f79995ee3c3b660c3406c330adb34d.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/100886f79995ee3c3b660c3406c330adb34d.png,https://static.virtuagym.com/videos/2023_id1166.mp4
113974,"Running forward, interval - JR",strength,"Cardiovascular System, Calves",,Beginner,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_kettler081.mp4,f3e0dda0a270ac9a6867587508979a49e76a.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/f3e0dda0a270ac9a6867587508979a49e76a.png,https://static.virtuagym.com/videos/2023_kettler081.mp4
89411,Crunch extension - Plate,strength,Abs - Straight Abs,Lats,Advanced,Weight plate,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1612.mp4,5ca304d23edd72df75ebf6940e2bcc247976.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/5ca304d23edd72df75ebf6940e2bcc247976.png,https://static.virtuagym.com/videos/2023_id1612.mp4
113975,"Step machine, interval",strength,Cardiovascular System,Legs,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_oa027.mp4,20c7468844db1e0f5daee319eb74919eb2e1.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/20c7468844db1e0f5daee319eb74919eb2e1.png,https://static.virtuagym.com/videos/2023_oa027.mp4
89413,"Diagonal spiderman pushup, alternating",strength,"Obliques, Chest",Triceps,Novice,-,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1615.mp4,c18938123ebb7c074fec35f9d3b6a15065b7.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/c18938123ebb7c074fec35f9d3b6a15065b7.png,https://static.virtuagym.com/videos/2023_id1615.mp4
113976,"Arm bike, interval",strength,"Arms, Chest, Back, Shoulders, Cardiovascular System",,Novice,Cardio,time_based,3,"10,10,10",,"30,30,30,30,30",2023_kv005.mp4,09503bd3091160ca81369dc85789382b9e9c.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/09503bd3091160ca81369dc85789382b9e9c.png,https://static.virtuagym.com/videos/2023_kv005.mp4
89416,Lat prayer - Pulley,strength,Lats,"Lats, Biceps",Advanced,Pulley,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1619.mp4,d4308b679c4431269cbe6aa02b48a04d66c1.png,TRUE,TRUE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/d4308b679c4431269cbe6aa02b48a04d66c1.png,https://static.virtuagym.com/videos/2023_id1619.mp4
113977,"Escalator, interval",strength,Cardiovascular System,Glutes,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_lars01.mp4,e2510d8fc02d1ddf5b4647fad5cf8e4a8e8c.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/e2510d8fc02d1ddf5b4647fad5cf8e4a8e8c.png,https://static.virtuagym.com/videos/2023_lars01.mp4
89421,"Wall squat, right - FB",strength,"Quads, Glutes",Hamstrings,Intermediate,Exercise ball,repetition_based,3,,"12,10,8","30,30,30,30,30",2023_id1693.mp4,caa3fa0482aa0c82b3fdc8ef6b680fd806e8.png,TRUE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/caa3fa0482aa0c82b3fdc8ef6b680fd806e8.png,https://static.virtuagym.com/videos/2023_id1693.mp4
113978,"Assault bike, interval",strength,Full Body,,Novice,Cardio,time_based,3,"15,15,15",,"30,30,30,30,30",2023_id1308.mp4,1c1fe1dbe0c1cdd00fbb432790ff6cdfd329.png,FALSE,FALSE,https://static.virtuagym.com/v29522/thumb/activity/thumbnail/1c1fe1dbe0c1cdd00fbb432790ff6cdfd329.png,https://static.virtuagym.com/videos/2023_id1308.mp4
