id,exercise_name,category_name,primary_muscle_name,secondary_muscle_name,difficulty,equipment_name,exercise_type,sets,seconds_per_set,repetitions_per_set,rest_between_set,video_url_male,thumbnail_male,primary_joint_name,visible_for,exercise_intensity,intensity_value,distance,speed,met_id,gif_url,created_by,updated_by,created_by_type,updated_by_type,is_deleted
19344,"Cross raise, right - VP",cardio,Shoulders,,Beginner,"Vibration training, Elastic bands",repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0144m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/cbb195b4e67eb33973c9907465ca86cb709e.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20533,High pull - KB,strength,"Legs, Lower Back, Shoulders",,Intermediate,Kettlebell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0250.mp4,https://uploads.fitnfi.com/exercises/thumbnails/cb4836a50a4b175b0f95d9782f17843d10d2.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19346,"Lunge lateral, left - VP",cardio,"Quads, Glutes",,Beginner,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0147.mp4,https://uploads.fitnfi.com/exercises/thumbnails/2f582544ea6277fafb05f602eeaae37b0063.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20537,Sit-up shoulder press - KB,strength,"All Abs, Shoulders",,Novice,Kettlebell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0256.mp4,https://uploads.fitnfi.com/exercises/thumbnails/d1000a8cc89659a175c042c4536dd71a99d9.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19347,"Lunge lateral, right - VP",cardio,"Quads, Glutes",,Beginner,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0147m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/c5a0b7c323e777bbda094a7db0ac3b5299c9.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20542,Deadlift sumo stance - Barbell,strength,Lower Back,"Glutes, Quads, Legs",Novice,Barbell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0231.mp4,https://uploads.fitnfi.com/exercises/thumbnails/9ca1a7641168f8a8497710cefa0dfede9a40.png,"Core,Hip,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19348,Half squat - Vp,cardio,Quads,,Beginner,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0148.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ca0712a3ab86df9e36f0dc024d230bfd9192.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20544,Upright row - KB,strength,Shoulders,"Upper Back, Front Shoulders, Biceps",Novice,Kettlebell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0255.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ab410c8ce3529ee5ad8ebc598922db595247.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19349,Deep squat - VP,cardio,Quads,,Intermediate,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0191.mp4,https://uploads.fitnfi.com/exercises/thumbnails/b055448b0b67cb02918a08c1621e3007b830.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20545,"Chopper low-high kneeling, right - Pulley",strength,Obliques,,Novice,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0251.mp4,https://uploads.fitnfi.com/exercises/thumbnails/b1654f6f85c6f025f46e5590a4cf3a5dd187.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19350,Standing pull back - VP,cardio,Upper Back,,Beginner,"Vibration training, Elastic bands",repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0158.mp4,https://uploads.fitnfi.com/exercises/thumbnails/026dfb61a7f211b7de33561d8e176224365e.png,Shoulder,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20678,"Chopper high-low kneeling, right - Pulley",strength,Obliques,,Novice,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0249m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/e236a5a0627131f64d32ef05cd840a20e078.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19351,"One leg squat, left - VP",cardio,Quads,,Intermediate,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0155.mp4,https://uploads.fitnfi.com/exercises/thumbnails/686b5849408e69fe97961580912ae5a2aa70.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20679,"Chopper low-high kneeling, left - Pulley",strength,Obliques,,Novice,Pulley,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0251m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/67d6194730182700399dced1d24b9ffde55e.png,"Core,Shoulder,Spine",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
19352,"One leg squat, right - VP",cardio,"Quads, Glutes",,Intermediate,Vibration training,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_sid0155m.mp4,https://uploads.fitnfi.com/exercises/thumbnails/469829926d1f8a4a2eeb17863c1b5c20f176.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21375,"Side pivot, right - MRB",strength,Glutes,Legs,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0259.mp4,https://uploads.fitnfi.com/exercises/thumbnails/f5599a0ba71d734cf954584a8ccfaba62d27.png,Hip,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20525,Seated arm shake,cardio,Arms,,Novice,Bench,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0192.mp4,https://uploads.fitnfi.com/exercises/thumbnails/eb083f3d4ff36698f3a52b8779fa2e2eb18d.png,Combination,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21377,"One leg squat, left - MRB",strength,,Quads,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0260.mp4,https://uploads.fitnfi.com/exercises/thumbnails/b96205eae8602e682d3939ff691547ea9d5e.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20531,Front squat - Barbell,strength,"Quads, Glutes",,Novice,Barbell,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0226.mp4,https://uploads.fitnfi.com/exercises/thumbnails/bcc05c728cfadec6cdf2af515ab3a62db1c3.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21383,"Front pivot, right - MRB",strength,Quads,,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0263.mp4,https://uploads.fitnfi.com/exercises/thumbnails/3b6e946b09b5b87e5ee83294e3739ce8aa19.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20534,Lat pulldown narrow grip,strength,Lats,Biceps,Novice,Strength Machines - Weight stack,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0252.mp4,https://uploads.fitnfi.com/exercises/thumbnails/7ca7fc195cd952ce19a928ca737e115d4426.png,"Fingers,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21385,"Reverse pivot, right - MRB",strength,"Glutes, Hamstrings",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0264.mp4,https://uploads.fitnfi.com/exercises/thumbnails/3021d006f53e18bbbd963f6eba5e72704513.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20535,Lat pulldown wide grip back,strength,Lats,Biceps,Novice,Strength Machines - Weight stack,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0253.mp4,https://uploads.fitnfi.com/exercises/thumbnails/6b251fc563c1d4a1f2bb7347181ba5cca231.png,"Fingers,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21388,"Reverse pivot, alternated - MRB",strength,"Glutes, Hamstrings",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0266.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ccd1ee03ba5725aaad542dcdf751485d3fb4.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
20536,Lat pulldown supinated grip,strength,Lats,"Biceps, Back",Novice,Strength Machines - Weight stack,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0254.mp4,https://uploads.fitnfi.com/exercises/thumbnails/6f5c58c23abb2cd1bad86748f2390f7458f9.png,"Fingers,Shoulder",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21389,"Alternated pivot, right - MRB",strength,"Quads, Hamstrings",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0267.mp4,https://uploads.fitnfi.com/exercises/thumbnails/524b605d50a09fcd47e93673e237f733c380.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21374,"Side pivot, alternated - MRB",strength,Glutes,,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0258.mp4,https://uploads.fitnfi.com/exercises/thumbnails/4b84056b892459c36106bc36de8f29731acc.png,Hip,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21391,"Diagonal front pivot, right - MRB",strength,"Glutes, Abductor",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0268.mp4,https://uploads.fitnfi.com/exercises/thumbnails/e79ba7db0bfae52a08b129a147b0487ae3aa.png,Hip,everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21387,"Front pivot, alternated - MRB",strength,Quads,,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0265.mp4,https://uploads.fitnfi.com/exercises/thumbnails/f0e287e2b912e1e4d2399a04d6e8f5e55715.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21393,Lateral jump front - MRB,strength,"Glutes, Abductor, Quads",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0269.mp4,https://uploads.fitnfi.com/exercises/thumbnails/6a17b9214f87c11dd698ba7ab8bed2b090be.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21390,Sumo squat stretch rotation to overhead,strength,"Hamstrings, Glutes",,Novice,,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0323.mp4,https://uploads.fitnfi.com/exercises/thumbnails/ae87aeb4d87fac796a25cdf286dee662e9b4.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21394,Lateral jump reverse - MRB,strength,"Abductor, Quads, Abductor",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0270.mp4,https://uploads.fitnfi.com/exercises/thumbnails/f03c20a486b979e5115fc3e5b37bc4a1b4ce.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
21395,Monster walk forward - MRB,strength,"Glutes, Quads",,Novice,Resistance band,repetition_based,3,"{60.60,60}","{10,10,10}","{45, 45, 45}",https://uploads.fitnfi.com/exercises/videos/2023_id0271.mp4,https://uploads.fitnfi.com/exercises/thumbnails/5deda2d8931a6e31cf8f9257afd2c79ef905.png,"Hip,Knee",everyone_in_my_gym,max_intensity,,,,,,,,admin,admin,FALSE
